"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9796","verify that user can enter the personal details","webkit","Sun Aug 24 19:26:27 IST 2025","passed","Sun Aug 24 19:26:36 IST 2025","","nagendrasurevey.spec.ts","",""
"","4186","logging into amazon survey","webkit","Sun Aug 24 11:32:43 IST 2025","passed","Sun Aug 24 11:32:47 IST 2025","","sample.spec.ts\bascisprep.spec.ts","",""
"","7337","logging into azka survey","webkit","Sun Aug 24 19:26:24 IST 2025","passed","Sun Aug 24 19:26:32 IST 2025","","nagendrasurevey.spec.ts","",""
"","3372","logging on redbussurvey","webkit","Sun Aug 24 19:26:21 IST 2025","passed","Sun Aug 24 19:26:24 IST 2025","","example.spec.ts","",""
"","1916","logging into calculator","webkit","Sun Aug 24 19:26:35 IST 2025","passed","Sun Aug 24 19:26:37 IST 2025","","website.spec.ts","",""
"","7742","verify that user can see the existing records","webkit","Sun Aug 24 19:26:28 IST 2025","passed","Sun Aug 24 19:26:35 IST 2025","","nagendrasurevey.spec.ts","",""
"","7181","logging on twitter survey","webkit","Sun Aug 24 19:26:21 IST 2025","passed","Sun Aug 24 19:26:28 IST 2025","","example.spec.ts","",""
"","12828","logging on google survey","webkit","Sun Aug 24 19:26:21 IST 2025","failed","Sun Aug 24 19:26:33 IST 2025","","example.spec.ts","",""
"","6695","loggging on amazon survey","webkit","Sun Aug 24 19:26:21 IST 2025","passed","Sun Aug 24 19:26:27 IST 2025","","example.spec.ts","",""
"","18055","logging on snapchat survey","webkit","Sun Aug 24 19:26:21 IST 2025","passed","Sun Aug 24 19:26:39 IST 2025","","example.spec.ts","",""
"","3559","logging into whatsapp","webkit","Sun Aug 24 19:26:32 IST 2025","failed","Sun Aug 24 19:26:35 IST 2025","","website.spec.ts","",""
"","1442","logging into youtube","webkit","Sun Aug 24 19:26:37 IST 2025","failed","Sun Aug 24 19:26:39 IST 2025","","website.spec.ts","",""
"","5707","logging on facebooksurvey","webkit","Sun Aug 24 19:26:21 IST 2025","passed","Sun Aug 24 19:26:26 IST 2025","","example.spec.ts","",""
"","2112","logging into googlesurvey","webkit","Sun Aug 24 11:25:00 IST 2025","passed","Sun Aug 24 11:25:02 IST 2025","","sample.spec.ts\bascisprep.spec.ts","",""
"","8655","verify that user can view the existing records","webkit","Sun Aug 24 19:26:28 IST 2025","failed","Sun Aug 24 19:26:37 IST 2025","","nagendrasurevey.spec.ts","",""
"","4215","logging into youtube survey","webkit","Sun Aug 24 13:59:37 IST 2025","failed","Sun Aug 24 13:59:42 IST 2025","","sample.spec.ts\bascisprep.spec.ts","",""
